Ubicación Tecnica,Cod. Equipo,Tipo de Objeto,Equipo Superior
1003-PL1-SAUP-DAIR-COM0903,400000487,T,
1003-PL1-SAUP-DAIR-COM0903,600001189,F,400000487
1003-PL1-SAUP-DAIR-COM0903,600001190,F,400000487
1003-PL1-SAUP-DAIR-COM0903,800002444,R,600001190
1003-PL1-SAUP-DAIR-COM0903,800002445,R,600001190
1003-PL1-SAUP-DAIR-COM0903,600001191,F,400000487
1003-PL1-SAUP-DAIR-COM0903,800002446,R,600001191
1003-PL1-SAUP-DAIR-COM0903,600001192,F,400000487
1003-PL1-SAUP-DAIR-COM0903,800002447,R,600001192
1003-PL2-MOLI-MOLP-MOL1001,500000171,E,
1003-PL2-MOLI-MOLP-MOL1001,600000624,F,500000171
1003-PL2-MOLI-MOLP-MOL1001,800001508,R,600000624
1003-PL2-MOLI-MOLP-MOL1001,800001509,R,600000624
1003-PL2-MOLI-MOLP-MOL1001,800001510,R,600000624
1003-PL2-MOLI-MOLP-MOL1001,800001511,R,600000624
1003-PL2-MOLI-MOLP-MOL1001,800001512,R,600000624
1003-PL2-MOLI-MOLP-MOL1001,800001513,R,600000624
1003-PL2-MOLI-MOLP-MOL1001,800001514,R,600000624
1003-PL2-MOLI-MOLP-MOL1001,800001515,R,600000624
1003-PL2-MOLI-MOLP-MOL1001,600000625,F,500000171
1003-PL2-MOLI-MOLP-MOL1001,800001516,R,600000625
1003-PL2-MOLI-MOLP-MOL1001,600000626,F,500000171
1003-PL2-MOLI-MOLP-MOL1001,800001517,R,600000626
1003-PL2-MOLI-MOLP-MOL1001,600000627,F,500000171
1003-PL2-MOLI-MOLP-MOL1001,800001518,R,600000627
1003-PL2-MOLI-MOLP-MOL1001,800001519,R,600000627
1003-PL2-MOLI-MOLP-MOL1001,800001520,R,600000627
1003-PL2-MOLI-MOLP-MOL1001,800001521,R,600000627
1003-PL2-MOLI-MOLP-MOL1001,600000628,F,500000171
1003-PL2-MOLI-MOLP-MOL1001,800001522,R,600000628
1003-PL2-MOLI-MOLP-MOL1001,800001523,R,600000628
1003-PL2-MOLI-MOLP-MOL1001,600000629,F,500000171
1003-PL1-CHAN-CHAP-BOM0002,400000334,T,
1003-PL1-CHAN-CHAP-BOM0002,600000797,F,400000334
1003-PL1-CHAN-CHAP-BOM0002,800001896,R,600000797
1003-PL1-CHAN-CHAP-BOM0002,800010607,R,600000797
1003-PL1-CHAN-CHAP-BOM0002,600000798,F,400000334
1003-PL1-CHAN-CHAP-BOM0002,800001898,R,600000798
1003-PL1-CHAN-CHAP-BOM0002,800001899,R,600000798
1004-MI1-ECAR-SCOO-SCO0029,300000095,V,
1004-MI1-ECAR-SCOO-SCO0029,800004863,R,300000095
1004-MI1-ECAR-SCOO-SCO0029,800004864,R,300000095
1004-MI1-ECAR-SCOO-SCO0029,800004865,R,300000095
1004-MI1-ECAR-SCOO-SCO0029,800004866,R,300000095
1004-MI1-ECAR-SCOO-SCO0029,800004869,R,300000095
1004-MI1-ECAR-SCOO-SCO0029,800004870,R,300000095
1004-MI1-ECAR-SCOO-SCO0029,800004871,R,300000095
1004-MI1-ECAR-SCOO-SCO0029,800004872,R,300000095
1004-MI1-ECAR-SCOO-SCO0029,800004873,R,300000095
1004-MI1-ECAR-SCOO-SCO0029,800004874,R,300000095
