Ubicación Técnica,Equipo Padre,Sistema,Componente,Eq,Tipo de Objeto
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000629,,600000629,F
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000628,800001523,800001523,R
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000628,800001522,800001522,R
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000628,,600000628,F
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000627,800001521,800001521,R
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000627,800001520,800001520,R
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000627,800001519,800001519,R
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000627,800001518,800001518,R
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000627,,600000627,F
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000626,800001517,800001517,R
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000626,,600000626,F
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000625,800001516,800001516,R
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000625,,600000625,F
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000624,800001515,800001515,R
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000624,800001514,800001514,R
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000624,800001513,800001513,R
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000624,800001512,800001512,R
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000624,800001511,800001511,R
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000624,800001510,800001510,R
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000624,800001509,800001509,R
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000624,800001508,800001508,R
1003-PL2-MOLI-MOLP-MOL1001,500000171,600000624,,600000624,F
1003-PL2-MOLI-MOLP-MOL1001,500000171,,,500000171,E
1003-PL1-SAUP-DAIR-COM0903,400000487,600001192,800002447,800002447,R
1003-PL1-SAUP-DAIR-COM0903,400000487,600001192,,600001192,F
1003-PL1-SAUP-DAIR-COM0903,400000487,600001191,800002446,800002446,R
1003-PL1-SAUP-DAIR-COM0903,400000487,600001191,,600001191,F
1003-PL1-SAUP-DAIR-COM0903,400000487,600001190,800002445,800002445,R
1003-PL1-SAUP-DAIR-COM0903,400000487,600001190,800002444,800002444,R
1003-PL1-SAUP-DAIR-COM0903,400000487,600001190,,600001190,F
1003-PL1-SAUP-DAIR-COM0903,400000487,600001189,,600001189,F
1003-PL1-SAUP-DAIR-COM0903,400000487,,,400000487,E
