"";"Ubicación.Tecnica";"Cod..Equipo";"Tipo.de.Objeto";"Equipo.Superior";"Eq.padre";"Sistema";"Comp"
"1";"1003-PL1-SAUP-DAIR-COM0903";400000487;"T";"0";"400000487";"0";"0"
"2";"1003-PL1-SAUP-DAIR-COM0903";600001189;"F";"400000487";"400000487";"600001189";"0"
"3";"1003-PL1-SAUP-DAIR-COM0903";600001190;"F";"400000487";"400000487";"600001190";"0"
"4";"1003-PL1-SAUP-DAIR-COM0903";800002444;"R";"600001190";"400000487";"600001190";"800002444"
"5";"1003-PL1-SAUP-DAIR-COM0903";800002445;"R";"600001190";"400000487";"600001190";"800002445"
"6";"1003-PL1-SAUP-DAIR-COM0903";600001191;"F";"400000487";"400000487";"600001191";"0"
"7";"1003-PL1-SAUP-DAIR-COM0903";800002446;"R";"600001191";"400000487";"600001191";"800002446"
"8";"1003-PL1-SAUP-DAIR-COM0903";600001192;"F";"400000487";"400000487";"600001192";"0"
"9";"1003-PL1-SAUP-DAIR-COM0903";800002447;"R";"600001192";"400000487";"600001192";"800002447"
"10";"1003-PL2-MOLI-MOLP-MOL1001";500000171;"E";"0";"500000171";"0";"0"
"11";"1003-PL2-MOLI-MOLP-MOL1001";600000624;"F";"500000171";"500000171";"600000624";"0"
"12";"1003-PL2-MOLI-MOLP-MOL1001";800001508;"R";"600000624";"500000171";"600000624";"800001508"
"13";"1003-PL2-MOLI-MOLP-MOL1001";800001509;"R";"600000624";"500000171";"600000624";"800001509"
"14";"1003-PL2-MOLI-MOLP-MOL1001";800001510;"R";"600000624";"500000171";"600000624";"800001510"
"15";"1003-PL2-MOLI-MOLP-MOL1001";800001511;"R";"600000624";"500000171";"600000624";"800001511"
"16";"1003-PL2-MOLI-MOLP-MOL1001";800001512;"R";"600000624";"500000171";"600000624";"800001512"
"17";"1003-PL2-MOLI-MOLP-MOL1001";800001513;"R";"600000624";"500000171";"600000624";"800001513"
"18";"1003-PL2-MOLI-MOLP-MOL1001";800001514;"R";"600000624";"500000171";"600000624";"800001514"
"19";"1003-PL2-MOLI-MOLP-MOL1001";800001515;"R";"600000624";"500000171";"600000624";"800001515"
"20";"1003-PL2-MOLI-MOLP-MOL1001";600000625;"F";"500000171";"500000171";"600000625";"0"
"21";"1003-PL2-MOLI-MOLP-MOL1001";800001516;"R";"600000625";"500000171";"600000625";"800001516"
"22";"1003-PL2-MOLI-MOLP-MOL1001";600000626;"F";"500000171";"500000171";"600000626";"0"
"23";"1003-PL2-MOLI-MOLP-MOL1001";800001517;"R";"600000626";"500000171";"600000626";"800001517"
"24";"1003-PL2-MOLI-MOLP-MOL1001";600000627;"F";"500000171";"500000171";"600000627";"0"
"25";"1003-PL2-MOLI-MOLP-MOL1001";800001518;"R";"600000627";"500000171";"600000627";"800001518"
"26";"1003-PL2-MOLI-MOLP-MOL1001";800001519;"R";"600000627";"500000171";"600000627";"800001519"
"27";"1003-PL2-MOLI-MOLP-MOL1001";800001520;"R";"600000627";"500000171";"600000627";"800001520"
"28";"1003-PL2-MOLI-MOLP-MOL1001";800001521;"R";"600000627";"500000171";"600000627";"800001521"
"29";"1003-PL2-MOLI-MOLP-MOL1001";600000628;"F";"500000171";"500000171";"600000628";"0"
"30";"1003-PL2-MOLI-MOLP-MOL1001";800001522;"R";"600000628";"500000171";"600000628";"800001522"
"31";"1003-PL2-MOLI-MOLP-MOL1001";800001523;"R";"600000628";"500000171";"600000628";"800001523"
"32";"1003-PL2-MOLI-MOLP-MOL1001";600000629;"F";"500000171";"500000171";"600000629";"0"
"33";"1003-PL1-CHAN-CHAP-BOM0002";400000334;"T";"0";"400000334";"0";"0"
"34";"1003-PL1-CHAN-CHAP-BOM0002";600000797;"F";"400000334";"400000334";"600000797";"0"
"35";"1003-PL1-CHAN-CHAP-BOM0002";800001896;"R";"600000797";"400000334";"600000797";"800001896"
"36";"1003-PL1-CHAN-CHAP-BOM0002";800010607;"R";"600000797";"400000334";"600000797";"800010607"
"37";"1003-PL1-CHAN-CHAP-BOM0002";600000798;"F";"400000334";"400000334";"600000798";"0"
"38";"1003-PL1-CHAN-CHAP-BOM0002";800001898;"R";"600000798";"400000334";"600000798";"800001898"
"39";"1003-PL1-CHAN-CHAP-BOM0002";800001899;"R";"600000798";"400000334";"600000798";"800001899"
"40";"1004-MI1-ECAR-SCOO-SCO0029";300000095;"V";"0";"300000095";"0";"0"
"41";"1004-MI1-ECAR-SCOO-SCO0029";800004863;"R";"300000095";"300000095";"0";"800004863"
"42";"1004-MI1-ECAR-SCOO-SCO0029";800004864;"R";"300000095";"300000095";"0";"800004864"
"43";"1004-MI1-ECAR-SCOO-SCO0029";800004865;"R";"300000095";"300000095";"0";"800004865"
"44";"1004-MI1-ECAR-SCOO-SCO0029";800004866;"R";"300000095";"300000095";"0";"800004866"
"45";"1004-MI1-ECAR-SCOO-SCO0029";800004869;"R";"300000095";"300000095";"0";"800004869"
"46";"1004-MI1-ECAR-SCOO-SCO0029";800004870;"R";"300000095";"300000095";"0";"800004870"
"47";"1004-MI1-ECAR-SCOO-SCO0029";800004871;"R";"300000095";"300000095";"0";"800004871"
"48";"1004-MI1-ECAR-SCOO-SCO0029";800004872;"R";"300000095";"300000095";"0";"800004872"
"49";"1004-MI1-ECAR-SCOO-SCO0029";800004873;"R";"300000095";"300000095";"0";"800004873"
"50";"1004-MI1-ECAR-SCOO-SCO0029";800004874;"R";"300000095";"300000095";"0";"800004874"
